Word,Count
*,640
the,170
,160
to,72
a,48
of,47
@param,41
2017,39
Brandon,36
and,31
texture,29
Description:,28
project,26
Oct,26
Author:,26
is,25
Date,23
Created:,23
File,23
:,23
@return,22
in,21
be,18
which,16
list,16
game,16
that,15
Returns,14
editor,14
for,14
@version,13
0.1,13
Quinn,13
@since,13
Jun,13
on,13
@author,13
will,12
not,12
selected,11
@see,11
The,11
loaded,10
@throws,10
dialog,10
(non-Javadoc),9
file,9
state,9
TODO,9
or,9
are,8
4,8
data,8
currently,8
This,8
current,8
log,8
textures,7
it,7
then,7
layer,7
Create,7
world,7
when,7
can,7
6,7
create,6
information,6
thread,6
*==============================================,6
new,6
==============================================*,6
static,6
model,6
from,6
size,6
ProjectContext,6
being,6
all,6
assets,6
we,5
user,5
load,5
editing,5
configuration,5
change,5
needed,5
if,5
layers,5
don't,5
11,5
context,5
message,5
get,5
offset,5
as,5
write,5
JSON,5
A,5
used,5
check,5
cursor,4
files,4
add,4
mouse,4
SigmaException,4
already,4
draw,4
disk,4
created,4
g2d,4
them,4
bar,4
directory,4
Adds,4
have,4
List,4
javax.swing.event.ListSelectionListener#valueChanged(javax.swing.event.ListSelectionEvent),4
progress,4
name,4
where,4
render,4
out,3
like,3
so,3
queue,3
Loads,3
one,3
system,3
\int,\,3
1,3
there,3
any,3
by,3
20,3
projectLocation,3
what,3
amount,3
anything,3
this,3
Represents,3
up,3
ground,3
File:,3
projects,3
brq,3
generally,3
everything,3
set,3
object,3
structure,3
\javax.swing.ListCellRenderer#getListCellRendererComponent(javax.swing.JList,\,3
FileNotFoundException,3
sounds,3
x,3
selection,3
with,3
changes,3
class,3
logs,3
JList,3
Just,3
they,3
*============================================================,3
Uses,3
completely,3
3,3
7,3
boolean),3
level,3
image,3
an,3
main,3
Date:,3
adds,3
\boolean,\,3
access,3
============================================================*,3
but,3
\java.lang.Object,\,3
exist,3
should,3
no,2
basically,2
look,2
*===========================,2
always,2
They,2
blank,2
make,2
string,2
exists,2
icons,2
inside,2
send,2
DefaultIcons,2
refers,2
All,2
terms,2
template,2
pixels,2
has,2
editingContext,2
rectangle,2
Changes,2
scale,2
otherwise,2
delta,2
\sounds,\,2
trace,2
input,2
GameModel,2
Setters,2
Add,2
index,2
etc,2
\file,\,2
written,2
Mouse,2
represents,2
ensure,2
made,2
===========================*,2
Icons,2
it's,2
default,2
program,2
reselecting,2
interface,2
Sound,2
Return,2
width,2
================================================*,2
java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent),2
area,2
meta,2
12,2
worldWidth,2
y,2
projectName,2
loading,2
been,2
*================================================,2
Allows,2
And,2
text,2
Buttons,2
loadedTexture,2
recent,2
select,2
Getters,2
PROJECT,2
blend,2
2,2
exception,2
error,2
simple,2
show,2
config,2
IOException,2
holds,2
identify,2
whether,2
repaint,2
actually,2
every,2
axis,2
Draws,2
keep,2
frame,2
Texture,2
here,2
paint,2
type,2
instance,2
chosen,2
rendering,2
projectContext,2
Layer,2
worldHeight,2
operations,2
pressed,2
open,2
ProjectManager,2
space,2
stack,2
sure,2
tool,2
8,2
height,2
fields,2
may,2
need,2
images,1
boring,1
immediate,1
\rotations,\,1
previous,1
GO,1
private,1
Scales,1
buttons,1
TextureJList,1
saving,1
most,1
format,1
\loaded,\,1
\"\Project\,1
keeps,1
Draw,1
AssetLoader.java,1
Stop,1
played,1
Sets,1
states,1
textureHeight,1
Offset,1
interacting,1
continuously,1
handle,1
were,1
texturePaint,1
us,1
